candidate_id,doi,title,discovery_route_families,source_screen_status,source_access_status,study_type,taxon,primary_study_id,study_cluster_id,screen_exclusion_reason,coder_id,coding_date,coding_note
doi:10.1111/ppl.70526,10.1111/ppl.70526,Nitrogen Fertilizer Exerts Little Impact on Highbush Blueberry Floral Chemistry Pollinator Visitation Yield and Fruit Quality,B_to_pollination,excluded,abstract_only,comparative,Vaccinium corymbosum,Vaccinium_corymbosum_ppl70526,Vaccinium_corymbosum_ppl70526_panel,floral_reward_chemistry_without_independent_barrier_role,assistant_abstract_screen,2026-07-01,Nitrogen altered some nectar chemistry but did not alter honeybee visitation; abstract frames nectar and pollen as rewards rather than barrier traits.
doi:10.4314/tjpp.v18i2.1,10.4314/tjpp.v18i2.1,Negative Effects of Pollen Drought Stress on Floral Volatiles Floral Nectar Pollinator Behavior and Seed Production in Ocimum basilicum Plants,B_to_pollination,excluded,abstract_only,comparative,Ocimum basilicum,Ocimum_basilicum_tjpp_v18i2_1,Ocimum_basilicum_tjpp_v18i2_1_panel,abiotic_stress_to_reward_signal_path_not_independent_barrier,assistant_abstract_screen,2026-07-01,Drought changes floral rewards and volatiles with lower visitation; no flower-specific barrier role.
doi:10.1111/j.1461-0248.2007.01027.x,10.1111/j.1461-0248.2007.01027.x,Ecological context influences pollinator deterrence by alkaloids in floral nectar,B_to_pollination,included_for_source_coding,abstract_only,manipulation,Gelsemium sempervirens,Gelsemium_sempervirens_2007_alkaloid,Gelsemium_sempervirens_2007_alkaloid_panel,,assistant_abstract_screen,2026-07-01,Defensive nectar alkaloid was manipulated and bumblebee behavior measured across alternative-flower contexts.
doi:10.1002/ajb2.1594,10.1002/ajb2.1594,Inbreeding in Solanum carolinense alters floral attractants and rewards and adversely affects pollinator visitation,B_to_pollination,excluded,abstract_only,comparative,Solanum carolinense,Solanum_carolinense_ajb2_1594,Solanum_carolinense_ajb2_1594_panel,attraction_and_reward_traits_not_independent_barrier,assistant_abstract_screen,2026-07-01,Inbreeding alters corolla size pollen and attractive volatiles; no barrier role.
doi:10.1002/ecs2.3254,10.1002/ecs2.3254,Drought stress alters floral volatiles and reduces floral rewards pollinator activity and seed set in a global plant,B_to_pollination,excluded,abstract_only,comparative,Fagopyrum esculentum,Fagopyrum_esculentum_ecs2_3254,Fagopyrum_esculentum_ecs2_3254_panel,abiotic_stress_to_reward_signal_path_not_independent_barrier,assistant_abstract_screen,2026-07-01,Drought changes rewards and volatile composition with lower pollinator activity; no independent barrier trait.
doi:10.1111/ele.12038,10.1111/ele.12038,Petunia flowers solve the defence apparency dilemma of pollinator attraction by deploying complex floral blends,B_to_pollination,included_for_source_coding,abstract_only,manipulation,Petunia x hybrida,Petunia_ele_12038,Petunia_ele_12038_panel,,assistant_abstract_screen,2026-07-01,Transgenic floral-volatiles experiment directly establishes defensive scent components against florivores but abstract does not report a pollinator outcome.
doi:10.1111/j.1600-048x.2013.00079.x,10.1111/j.1600-048x.2013.00079.x,Bird pollinators differ in their tolerance of a nectar alkaloid,B_to_pollination,included_for_source_coding,abstract_only,manipulation,"Cinnyris talatala; Pycnonotus tricolor; Zosterops virens",bird_nectar_alkaloid_2013,bird_nectar_alkaloid_2013_panel,,assistant_abstract_screen,2026-07-01,Artificial nectar nicotine experiment measures bird feeding frequency and duration.
doi:10.1111/j.1365-2435.2009.01620.x,10.1111/j.1365-2435.2009.01620.x,Integrating floral scent pollination ecology and population genetics,B_to_pollination,excluded,abstract_only,review,multiple plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Framework review only.
doi:10.1111/1365-2745.12144,10.1111/1365-2745.12144,Dose dependent effects of nectar alkaloids in a montane plant pollinator community,B_to_pollination,included_for_source_coding,abstract_only,manipulation,Delphinium barbeyi,Delphinium_barbeyi_2014_alkaloid,Delphinium_barbeyi_2014_alkaloid_panel,,assistant_abstract_screen,2026-07-01,Field and laboratory nectar-alkaloid concentration manipulations measure bumblebee activity and floral visits.
doi:10.1111/1365-2435.13905,10.1111/1365-2435.13905,Pollinator behaviour and resource limitation maintain honest floral signalling,B_to_pollination,excluded,abstract_only,manipulation,Brassica rapa,Brassica_rapa_1365_2435_13905,Brassica_rapa_1365_2435_13905_panel,attraction_reward_honest_signalling_not_independent_barrier,assistant_abstract_screen,2026-07-01,Signals and nectar volume are attraction/reward traits rather than barrier traits.
doi:10.1242/jeb.092213,10.1242/jeb.092213,Three floral volatiles contribute to differential pollinator attraction in monkeyflowers,B_to_pollination,excluded,abstract_only,comparative,"Mimulus lewisii; Mimulus cardinalis",Mimulus_jeb_092213,Mimulus_jeb_092213_panel,attractive_floral_scent_not_independent_barrier,assistant_abstract_screen,2026-07-01,Volatiles are explicitly investigated as pollinator attractants.
doi:10.1111/gcb.13149,10.1111/gcb.13149,Drought and leaf herbivory influence floral volatiles and pollinator attraction,B_to_pollination,excluded,abstract_only,manipulation,multiple forb species,multiple_forbs_gcb13149,multiple_forbs_gcb13149_panel,abiotic_and_leaf_herbivory_to_signal_path_not_independent_barrier,assistant_abstract_screen,2026-07-01,Drought and leaf herbivory manipulate floral volatile signals; no pre-existing flower barrier predictor.
doi:10.1093/aob/mcag075,10.1093/aob/mcag075,Warming effects on floral volatile organic compounds and plant pollinator interactions in tropical ecosystems,B_to_pollination,excluded,abstract_only,review,multiple tropical plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Review only.
doi:10.18615/anadolu.1684107,10.18615/anadolu.1684107,Effect of Plant Volatile Components on Honey Bee Flower Visitation A Review,B_to_pollination,excluded,abstract_only,review,multiple plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Review only.
doi:10.1007/s11258-024-01444-3,10.1007/s11258-024-01444-3,Pollinator visitation patterns are influenced by floral volatile profiles,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone cannot establish B role.
doi:10.1007/s10886-007-9337-7,10.1007/s10886-007-9337-7,Pollinator and Herbivore Attraction to Cucurbita Floral Volatiles,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone cannot establish direction or barrier role.
doi:10.1007/bf00983216,10.1007/bf00983216,Floral volatiles from Clarkia breweri and C concinna,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone cannot establish role.
doi:10.1127/entomologia/2023/1991,10.1127/entomologia/2023/1991,Endophytic Beauveria bassiana modifies flowering phenology floral volatile profile and pollinator behaviour in melon,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone does not identify an independent flower barrier.
doi:10.1007/s10886-015-0597-3,10.1007/s10886-015-0597-3,Herbivory Increases Fruit Set in Silene latifolia,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; likely H-to-A/W but not classified from title alone.
doi:10.1007/s10886-018-0936-2,10.1007/s10886-018-0936-2,Identification of Floral Volatiles and Pollinator Responses in Kiwifruit Cultivars,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone does not establish defensive role.
doi:10.1016/j.heliyon.2025.e44123,10.1016/j.heliyon.2025.e44123,ScentChrono computational pipeline for floral volatile rhythms and pollinator interactions,B_to_pollination,excluded,unassessed,other,multiple plant systems,,,computational_tool_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Computational pipeline title does not identify a primary empirical trait outcome study.
